window_ts,frontend_api__cpu,frontend_api__mem_mb,frontend_api__req_rate,frontend_api__err_rate,frontend_api__lat_p50,frontend_api__lat_p95,frontend_api__lat_p99,frontend_api__log_errors,orders_service__cpu,orders_service__mem_mb,orders_service__req_rate,orders_service__err_rate,orders_service__lat_p50,orders_service__lat_p95,orders_service__lat_p99,orders_service__log_errors,payments_service__cpu,payments_service__mem_mb,payments_service__req_rate,payments_service__err_rate,payments_service__lat_p50,payments_service__lat_p95,payments_service__lat_p99,payments_service__log_errors,label,fault_service,fault_type
1781967360,0.28267593996495016,85.224609375,29.57649819574506,0.0,362.88998357963874,486.2889983579639,497.2577996715928,0.0,0.30274958624682596,84.90234375,29.554360098293156,0.0,363.1050041017227,486.31050041017227,497.2621000820344,0.0,0.3079927408271069,76.47265625,31.214717407186026,0.0,356.0049019607843,485.60049019607845,497.1200980392157,0.0,1,payments-service,latency
1781967380,0.22899786336554853,85.2353515625,29.585930049457744,0.0,374.3406179351922,487.43406179351916,497.48681235870384,0.0,0.24788160890979688,84.916015625,29.608108407815656,0.0,374.24642049736246,487.42464204973624,497.4849284099472,0.0,0.2510039456077543,76.521484375,28.410477056488283,0.0,374.3131868131868,487.43131868131866,497.4862637362637,0.0,1,payments-service,latency
1781967400,0.21313908398064038,85.2626953125,34.07680028378857,0.0,320.7789179104477,482.07789179104475,496.415578358209,0.0,0.21808248296006666,84.7880859375,34.09897126640652,0.0,320.49486461251166,482.04948646125115,496.4098972922502,0.0,0.23949532131757123,76.7890625,34.05462930117063,0.0,319.8874296435272,481.9887429643527,496.3977485928706,0.0,1,payments-service,latency
1781967420,0.27613180099432544,85.205078125,45.353982300884944,0.0,91.02976669348351,461.3499245852186,492.26998491704364,0.0,0.29613450020517396,84.8466796875,45.331858407079636,0.0,88.07460437076111,461.31042296072496,492.26208459214496,0.0,0.30576484289794104,76.505859375,45.331858407079636,0.0,44.97452978056426,462.49999999999994,492.49999999999994,0.0,1,payments-service,latency
1781967440,0.32599366590425416,85.22265625,56.81087433753908,0.0,80.57950191570882,374.4117647058822,474.88235294117646,0.0,0.3483319670026486,84.8212890625,56.810874337539076,0.0,78.37595334230596,373.41897233201564,474.6837944664032,0.0,0.36124702212017823,76.5224609375,59.60485176397543,0.0,39.823008849557525,387.9999999999998,477.59999999999985,0.0,0,none,none
1781967460,0.3523237676648623,85.25,47.72041866240909,0.0,90.66767830045524,439.3401015228426,493.95939086294413,0.0,0.43129718813050544,84.6826171875,47.72041866240909,0.0,87.62306610407876,413.0136986301369,486.7123287671232,0.0,0.4138519243274265,76.5146484375,48.27479155579209,0.0,37.886169201520914,49.526497148288975,84.22463768115941,0.0,0,none,none
1781967480,0.285030124460101,85.2900390625,36.29041180766082,0.0,200.1953125,474.6835443037975,544.4444444444445,0.0,0.7607387607636202,84.8271484375,36.2682835077781,0.0,168.34389857369257,461.4002145922746,496.5718884120171,0.0,0.3419655285093416,76.7744140625,34.01119691974066,0.0,37.80181086519115,49.39889336016096,81.25609756097548,0.0,1,orders-service,cpu
1781967500,0.23233389695442053,85.2939453125,31.842472891766633,0.0,270.01312335958005,482.0209973753281,577.6470588235288,0.0,0.9144194907595016,84.8984375,31.820298467747296,0.0,220.47872340425533,470.64917127071817,497.0764272559852,0.0,0.28510100404397104,76.7734375,31.24376344324456,0.0,37.70863570391872,49.2117198838897,73.90740740740749,0.0,1,orders-service,cpu
1781967520,0.20589551405690953,85.2919921875,34.05089362833034,0.0,245.55449330783935,479.7680412371134,572.9166666666624,0.0,1.034510271868022,85.25,34.05089362833034,0.0,209.6417682926829,465.7196969696968,496.7803030303029,0.0,0.23223388118119379,76.7734375,34.05089362833034,0.0,37.77582748244734,49.341775325977935,80.72916666666627,0.0,1,orders-service,cpu
1781967540,0.2569842041438722,85.3544921875,45.3408864596933,0.0,113.33605220228385,450.63465783664446,495.86644591611474,0.0,0.9596787697898537,85.25390625,45.363014759576025,0.0,98.2775119617225,421.20462046204614,488.86138613861374,0.0,0.271725882756805,76.8203125,45.34088645969331,0.0,38.003826530612244,49.764668367346935,89.69375000000005,0.0,1,orders-service,cpu
1781967560,0.31056287617318906,85.35546875,54.5587615604693,0.0,84.1796875,363.53211009174277,476.3761467889907,0.0,0.8051358231098007,84.998046875,54.53658320211139,0.0,81.70062695924766,291.46551724137925,461.05172413793144,0.0,0.328320638909932,76.833984375,56.798775754618646,0.0,38.14894932014833,50.779999999999916,91.756,0.0,0,none,none
1781967580,0.3645507090289992,85.14453125,61.230360699269745,0.009035056017347307,77.94057377049181,182.6715686274509,236.9264705882353,458.0,0.65162167192791,84.984375,61.230360699269745,0.008673653776653415,75.66717499046892,99.40240182996568,211.21028037383178,458.0,0.3828436915223067,76.8427734375,61.31887585749059,0.0,38.44017926734217,66.16310160427804,95.79946524064172,0.0,0,none,none
